ID,Complaint,Department
117,No waste collection service provided in Block C colony,Waste Management
118,Newly laid road on Ring Road is already damaged,Road Maintenance
119,Stray dogs are attacking residents in Saidapet,Public Safety
120,"No footpath available on Gandhi Street, pedestrians face danger",Road Maintenance
121,No security personnel at the public park in Tambaram,Public Safety
122,School in Perambur lacks proper toilet facilities,Education
123,Bus stop shelter near Bazaar Street is damaged,Public Transport
124,Air pollution levels are high near the factory in Adyar,Environment
125,Bus stop shelter near Church Street is damaged,Public Transport
126,School in Saidapet lacks proper toilet facilities,Education
127,Billing error in electricity charges for Vadapalani residents,Electricity
128,Water tanker did not arrive in the housing board colony as scheduled,Water Supply
129,Signboards are missing at the Station Road intersection,Traffic
130,"Street lights remain on during daytime in the housing board colony, wasting power",Street Lighting
131,Bus stop shelter near Church Street is damaged,Public Transport
132,Electricity is unavailable in Porur for the past 4 days,Electricity
133,Traffic signal timing is too short at Park Avenue,Traffic
134,School building near Bypass Road needs urgent repair,Education
135,Power supply tripped and not restored for 14 hours in Block C,Electricity
136,Bus frequency has reduced drastically on Adyar route,Public Transport
137,"Low water pressure reported near Temple Street, Egmore",Water Supply
138,School building near Main Road needs urgent repair,Education
139,Street light wiring is exposed and dangerous in Saidapet,Street Lighting
140,Bus service is irregular on the Adyar route,Public Transport
141,Textbooks not distributed on time in Kolathur schools,Education
142,Segregated waste is being mixed by collection staff in the railway station road,Waste Management
143,Street lights are not working on North Street in the industrial estate,Street Lighting
144,No science teacher appointed at Pallavaram school for 3 months,Education
145,Corruption reported in distribution of government scheme benefits in the government school area,Corruption
146,Public dustbin near South Street is broken and overflowing,Waste Management
147,Water body near Adyar is being polluted by industrial waste,Environment
148,Bribe was demanded for issuing a building permit in Ward 12,Corruption
149,Corruption reported in distribution of government scheme benefits in the government school area,Corruption
150,Live wire lying on Gandhi Street poses electrocution risk,Public Safety
151,Waterlogging occurs on Park Avenue during rains,Road Maintenance
152,No water connection provided despite application in the government school area,Water Supply
153,"Low water pressure reported near Ring Road, Vadapalani",Water Supply
154,Electric pole near Church Street is leaning dangerously,Electricity
155,Power supply tripped and not restored for 12 hours in Sector 5,Electricity
156,Public dustbin near Temple Street is broken and overflowing,Waste Management
157,Solar street lights installed in Mylapore are non functional,Street Lighting
158,Burning of waste is causing smoke in near the temple,Environment
159,Leaking pipeline is wasting water on MG Road,Water Supply
160,Stray dogs are attacking residents in Velachery,Public Safety
161,Public dustbin near Church Street is broken and overflowing,Waste Management
162,A government official is taking bribes for water connection approvals in Kodambakkam,Corruption
163,Ambulance service is delayed in Phase 2,Health
164,Newly laid road on Church Street is already damaged,Road Maintenance
165,Abandoned building near Gandhi Street is unsafe for children,Public Safety
166,Encroachment on the lake near Egmore is destroying wetlands,Environment
167,Speed breakers are missing near the school on South Street,Road Maintenance
168,New electricity connection is delayed in Pallavaram,Electricity
169,A contractor is taking bribes for water connection approvals in Anna Nagar,Corruption
170,There is no drinking water in the old bus stand area for the past 13 days,Water Supply
171,No bus service available to Royapettah after 8 pm,Public Transport
172,Frequent power cuts are occurring in Adyar,Electricity
173,Illegal sand mining reported near Chromepet,Environment
174,Official at the Perambur office is demanding money for a certificate,Corruption
175,Open manhole causing danger on South Street in Guindy,Public Safety
176,Deep pit left uncovered near Bazaar Street in near the temple,Public Safety
177,Overcrowded buses are running on the Guindy route,Public Transport
178,Dead animal left uncollected on Bazaar Street in Ward 12,Waste Management
179,Plastic waste dumped near the water body in Alwarpet,Environment
180,Money was demanded for processing a pension application in Porur,Corruption
181,Long waiting times reported at the main market road government hospital,Health
182,No security personnel at the public park in the main market road,Public Safety
183,Government hospital near Nehru Street lacks basic medicines,Health
184,School in Tambaram lacks proper toilet facilities,Education
185,Overcrowded classrooms reported in Alwarpet government school,Education
186,Hospital in the industrial estate has no doctors available,Health
187,Contaminated water is being supplied in the industrial estate,Water Supply
188,Water body near Egmore is being polluted by industrial waste,Environment
189,Road divider near MG Road is broken,Road Maintenance
190,Bribe was demanded for issuing a building permit in Phase 2,Corruption
191,Official at the the railway station road office is demanding money for a certificate,Corruption
192,Air pollution levels are high near the factory in Kodambakkam,Environment
193,Money was demanded for processing a pension application in Guindy,Corruption
194,Dark stretch on Park Avenue due to broken street lights,Street Lighting
195,Money was demanded for processing a pension application in Vadapalani,Corruption
196,Teacher is absent regularly at the the railway station road government school,Education
197,Bus frequency has reduced drastically on T Nagar route,Public Transport
198,"No footpath available on Market Road, pedestrians face danger",Road Maintenance
199,Long waiting times reported at the panchayat office area government hospital,Health
200,Street light flickers continuously on Main Road,Street Lighting
201,Dumping ground near the housing board colony is causing bad odor,Waste Management
202,Air pollution levels are high near the factory in Pallavaram,Environment
203,8 street lights have been off for weeks near MG Road,Street Lighting
204,13 street lights have been off for weeks near Main Road,Street Lighting
205,A government official is taking bribes for water connection approvals in the railway station road,Corruption
206,A municipal worker is taking bribes for water connection approvals in Vadapalani,Corruption
207,Road near Temple Street has not been repaired after monsoon,Road Maintenance
208,Leaking pipeline is wasting water on North Street,Water Supply
209,No security personnel at the public park in Perambur,Public Safety
210,Electric pole near Market Road is leaning dangerously,Electricity
211,"No signal at the school crossing near Main Road, T Nagar",Traffic
212,Government hospital near Main Road lacks basic medicines,Health
213,"Low water pressure reported near Church Street, Sector 5",Water Supply
214,Bus service is irregular on the Guindy route,Public Transport
215,Long waiting times reported at Saidapet government hospital,Health
216,"No footpath available on Main Road, pedestrians face danger",Road Maintenance
217,Leaking pipeline is wasting water on School Lane,Water Supply
218,Open manhole causing danger on Church Street in Kodambakkam,Public Safety
219,Frequent power cuts are occurring in Guindy,Electricity
220,Open manhole causing danger on Main Road in Pallavaram,Public Safety
221,14 street lights have been off for weeks near Gandhi Street,Street Lighting
222,Exposed wires near Station Road pose a danger to residents,Electricity
223,New electricity connection is delayed in Pallavaram,Electricity
224,Mid day meal quality is poor at T Nagar school,Education
225,Illegal tree cutting is happening near Church Street in Saidapet,Environment
226,Money was demanded for processing a pension application in the old bus stand area,Corruption
227,Road divider near MG Road is broken,Road Maintenance
228,Auto drivers are refusing to use the meter near School Lane,Public Transport
229,Street lights are not working on Station Road in Ambattur,Street Lighting
230,Illegal tree cutting is happening near Ring Road in Kolathur,Environment
231,Billing error in electricity charges for Perambur residents,Electricity
232,Garbage collection truck has not come to Velachery for 11 days,Waste Management
233,Someone demanded a bribe for approval of a document in the housing board colony,Corruption
234,Public dustbin near MG Road is broken and overflowing,Waste Management
235,Dumping ground near Vadapalani is causing bad odor,Waste Management
236,Huge potholes on MG Road in Kolathur,Road Maintenance
237,No specialist doctor visits the Kodambakkam health center,Health
238,A municipal worker asked for extra money to process ration card in the government school area,Corruption
239,Waterlogging occurs on South Street during rains,Road Maintenance
240,Road near School Lane has not been repaired after monsoon,Road Maintenance
241,Stray dogs are attacking residents in the housing board colony,Public Safety
242,Ambulance service is delayed in Egmore,Health
243,Frequent traffic congestion on School Lane during peak hours,Traffic
244,Bus frequency has reduced drastically on Phase 2 route,Public Transport
245,Huge potholes on Ring Road in the old bus stand area,Road Maintenance
246,Teacher is absent regularly at the the housing board colony government school,Education
247,Live wire lying on South Street poses electrocution risk,Public Safety
248,"No signal at the school crossing near Main Road, the railway station road",Traffic
249,Overcrowded classrooms reported in the panchayat office area government school,Education
250,Burning of waste is causing smoke in Phase 2,Environment
251,Water body near T Nagar is being polluted by industrial waste,Environment
252,Stray dogs are attacking residents in Royapettah,Public Safety
253,Street lights are not working on Temple Street in Sector 5,Street Lighting
254,Solar street lights installed in Pallavaram are non functional,Street Lighting
255,Contaminated water is being supplied in Adyar,Water Supply
256,Signboards are missing at the MG Road intersection,Traffic
257,Vaccination camp was cancelled without notice in Pallavaram,Health
258,Exposed wires near South Street pose a danger to residents,Electricity
259,A municipal worker is taking bribes for water connection approvals in Nungambakkam,Corruption
260,Abandoned building near MG Road is unsafe for children,Public Safety
261,Mid day meal quality is poor at Ambattur school,Education
262,Speed breakers are missing near the school on Church Street,Road Maintenance
263,Burning of waste is causing smoke in the panchayat office area,Environment
264,Dark stretch on Bazaar Street due to broken street lights,Street Lighting
265,Dead animal left uncollected on Nehru Street in near the temple,Waste Management
266,Road divider near Station Road is broken,Road Maintenance
267,School building near South Street needs urgent repair,Education
268,Stray dogs are attacking residents in Anna Nagar,Public Safety
269,Billing error in electricity charges for the railway station road residents,Electricity
270,Overcrowded classrooms reported in the government school area government school,Education
271,"No signal at the school crossing near Bazaar Street, Ambattur",Traffic
272,Borewell in Adyar has run dry,Water Supply
273,No security personnel at the public park in Royapettah,Public Safety
274,Illegal tree cutting is happening near Ring Road in Kolathur,Environment
275,Garbage is overflowing near Market Road in Alwarpet,Waste Management
276,A middleman asked for extra money to process ration card in the government school area,Corruption
277,Someone demanded a bribe for approval of a document in Mylapore,Corruption
278,Bribe was demanded for issuing a building permit in Chromepet,Corruption
279,No traffic police present at busy junction near MG Road,Traffic
280,Exposed wires near Church Street pose a danger to residents,Electricity
281,Live wire lying on North Street poses electrocution risk,Public Safety
282,Newly laid road on Station Road is already damaged,Road Maintenance
283,Auto drivers are refusing to use the meter near South Street,Public Transport
284,A contractor asked for extra money to process ration card in Kolathur,Corruption
285,Overcrowded buses are running on the T Nagar route,Public Transport
286,Mid day meal quality is poor at Mylapore school,Education
287,Billing error in electricity charges for the main market road residents,Electricity
288,Primary health center in Adyar is understaffed,Health
289,Last bus timing has been cancelled for Vadapalani,Public Transport
290,Burning of waste is causing smoke in Kolathur,Environment
291,Bus frequency has reduced drastically on Saidapet route,Public Transport
292,Garbage is overflowing near Bazaar Street in the panchayat office area,Waste Management
293,No security personnel at the public park in the old bus stand area,Public Safety
294,Traffic signal timing is too short at Bazaar Street,Traffic
295,Corruption reported in distribution of government scheme benefits in Anna Nagar,Corruption
296,Electricity is unavailable in the housing board colony for the past 11 days,Electricity
297,Bus stop shelter near Gandhi Street is damaged,Public Transport
298,Illegal sand mining reported near Royapettah,Environment
299,Bus service is irregular on the Mylapore route,Public Transport
300,Waterlogging occurs on Gandhi Street during rains,Road Maintenance
301,Street light wiring is exposed and dangerous in the government school area,Street Lighting
302,No specialist doctor visits the Vadapalani health center,Health
303,Unsafe construction site near Bypass Road lacks barricades,Public Safety
304,Traffic signal timing is too short at Church Street,Traffic
305,Solar street lights installed in Royapettah are non functional,Street Lighting
306,Water supply has been irregular in Saidapet for 7 weeks,Water Supply
307,"No footpath available on Station Road, pedestrians face danger",Road Maintenance
308,Dead animal left uncollected on Park Avenue in the government school area,Waste Management
309,Construction debris left on Ring Road blocking traffic,Road Maintenance
310,Road divider near MG Road is broken,Road Maintenance
311,Traffic signal timing is too short at Ring Road,Traffic
312,No security personnel at the public park in Royapettah,Public Safety
313,Noise pollution from construction near Gandhi Street at night,Environment
314,Streetside electric meter is sparking in Royapettah,Electricity
315,Public dustbin near MG Road is broken and overflowing,Waste Management
316,Contaminated water is being supplied in the panchayat office area,Water Supply
317,Public dustbin near Temple Street is broken and overflowing,Waste Management
318,Abandoned building near Gandhi Street is unsafe for children,Public Safety
319,Overcrowded buses are running on the Alwarpet route,Public Transport
320,Bus frequency has reduced drastically on near the temple route,Public Transport
321,Abandoned building near Park Avenue is unsafe for children,Public Safety
322,Bus service is irregular on the Kodambakkam route,Public Transport
323,School in Nungambakkam lacks proper toilet facilities,Education
324,Bus conductor misbehaved with passengers on the railway station road route,Public Transport
325,Dead animal left uncollected on Bypass Road in Kodambakkam,Waste Management
326,Streetside electric meter is sparking in Ambattur,Electricity
327,Borewell in Ward 12 has run dry,Water Supply
328,Traffic signal timing is too short at Main Road,Traffic
329,Dark stretch on Ring Road due to broken street lights,Street Lighting
330,Illegal tree cutting is happening near MG Road in the housing board colony,Environment
331,Abandoned building near MG Road is unsafe for children,Public Safety
332,Water body near Kolathur is being polluted by industrial waste,Environment
333,Official at the Anna Nagar office is demanding money for a certificate,Corruption
334,Street light flickers continuously on MG Road,Street Lighting
335,Zebra crossing markings have faded on Park Avenue,Traffic
336,Voltage fluctuation is damaging appliances in the old bus stand area,Electricity
337,Voltage fluctuation is damaging appliances in Guindy,Electricity
338,Streetside electric meter is sparking in Saidapet,Electricity
339,No specialist doctor visits the Kodambakkam health center,Health
340,Money was demanded for processing a pension application in Sector 5,Corruption
341,Deep pit left uncovered near Main Road in Adyar,Public Safety
342,Last bus timing has been cancelled for Ambattur,Public Transport
343,"No footpath available on Temple Street, pedestrians face danger",Road Maintenance
344,Road divider near Station Road is broken,Road Maintenance
345,Last bus timing has been cancelled for the main market road,Public Transport
346,"No footpath available on Station Road, pedestrians face danger",Road Maintenance
347,Borewell in T Nagar has run dry,Water Supply
348,Last bus timing has been cancelled for Vadapalani,Public Transport
349,Water supply has been irregular in Kodambakkam for 6 weeks,Water Supply
350,Bus service is irregular on the Block C route,Public Transport
351,No traffic police present at busy junction near Church Street,Traffic
352,Billing error in electricity charges for near the temple residents,Electricity
353,Frequent power cuts are occurring in Egmore,Electricity
354,Burning of waste is causing smoke in Porur,Environment
355,No security personnel at the public park in near the temple,Public Safety
356,Broken compound wall near School Lane is a safety hazard,Public Safety
357,Unsafe construction site near Main Road lacks barricades,Public Safety
358,Dead animal left uncollected on Gandhi Street in the industrial estate,Waste Management
359,Unsafe construction site near North Street lacks barricades,Public Safety
360,Broken compound wall near Temple Street is a safety hazard,Public Safety
361,Streetside electric meter is sparking in the government school area,Electricity
362,Illegal sand mining reported near Block C,Environment
363,Dead animal left uncollected on Temple Street in Porur,Waste Management
364,Traffic signal timing is too short at Station Road,Traffic
365,Overcrowded classrooms reported in the panchayat office area government school,Education
366,Public dustbin near Main Road is broken and overflowing,Waste Management
367,Illegal sand mining reported near Kodambakkam,Environment
368,Overcrowded buses are running on the the main market road route,Public Transport
369,Road divider near Church Street is broken,Road Maintenance
370,Air pollution levels are high near the factory in the old bus stand area,Environment
371,Primary health center in Royapettah is understaffed,Health
372,"New street light pole is needed on Bazaar Street, Adyar",Street Lighting
373,Street lights are not working on MG Road in near the temple,Street Lighting
374,Waterlogging occurs on South Street during rains,Road Maintenance
375,Road divider near Gandhi Street is broken,Road Maintenance
376,Encroachment on the lake near Ambattur is destroying wetlands,Environment
377,Public dustbin near Station Road is broken and overflowing,Waste Management
378,Bribe was demanded for issuing a building permit in Block C,Corruption
379,No water connection provided despite application in Nungambakkam,Water Supply
380,Ambulance service is delayed in the main market road,Health
381,Frequent power cuts are occurring in Alwarpet,Electricity
382,Water supply has been irregular in the old bus stand area for 6 weeks,Water Supply
383,New electricity connection is delayed in Phase 2,Electricity
384,Frequent traffic congestion on Bypass Road during peak hours,Traffic
385,Overcrowded buses are running on the Porur route,Public Transport
386,Dark stretch on Station Road due to broken street lights,Street Lighting
387,Hospital in Vadapalani lacks cleanliness and hygiene,Health
388,Bus frequency has reduced drastically on Adyar route,Public Transport
389,Power supply tripped and not restored for 8 hours in the panchayat office area,Electricity
390,Dark stretch on Ring Road due to broken street lights,Street Lighting
391,Water supply has been irregular in Guindy for 15 weeks,Water Supply
392,Water pipe burst near Bypass Road in Egmore,Water Supply
393,Ambulance service is delayed in Velachery,Health
394,Electricity is unavailable in Porur for the past 5 days,Electricity
395,School lacks drinking water facility in Kolathur,Education
396,Corruption reported in distribution of government scheme benefits in Mylapore,Corruption
397,Speed breakers are missing near the school on Gandhi Street,Road Maintenance
398,Hospital in Velachery lacks cleanliness and hygiene,Health
399,"Street lights remain on during daytime in Anna Nagar, wasting power",Street Lighting
400,Official at the near the temple office is demanding money for a certificate,Corruption
401,Bus frequency has reduced drastically on Tambaram route,Public Transport
402,No science teacher appointed at Velachery school for 2 months,Education
403,Speed breakers are missing near the school on North Street,Road Maintenance
404,Bus stop shelter near North Street is damaged,Public Transport
405,Bus conductor misbehaved with passengers on Mylapore route,Public Transport
406,Illegal sand mining reported near Alwarpet,Environment
407,Road near Nehru Street has not been repaired after monsoon,Road Maintenance
408,Unsafe construction site near Bypass Road lacks barricades,Public Safety
409,Newly laid road on Temple Street is already damaged,Road Maintenance
410,Encroachment on the lake near the old bus stand area is destroying wetlands,Environment
411,No specialist doctor visits the Block C health center,Health
412,A middleman asked for extra money to process ration card in Perambur,Corruption
413,No security personnel at the public park in Anna Nagar,Public Safety
414,Streetside electric meter is sparking in Alwarpet,Electricity
415,Abandoned building near Bypass Road is unsafe for children,Public Safety
416,Bus frequency has reduced drastically on the railway station road route,Public Transport
417,"New street light pole is needed on Main Road, Sector 5",Street Lighting
418,Newly laid road on South Street is already damaged,Road Maintenance
419,Construction debris left on Main Road blocking traffic,Road Maintenance
420,Bus stop shelter near Main Road is damaged,Public Transport
421,Garbage is overflowing near Temple Street in Ambattur,Waste Management
422,Borewell in the government school area has run dry,Water Supply
423,Water body near Mylapore is being polluted by industrial waste,Environment
424,Leaking pipeline is wasting water on Main Road,Water Supply
425,Bus stop shelter near Station Road is damaged,Public Transport
426,Garbage is overflowing near Park Avenue in Perambur,Waste Management
427,No water connection provided despite application in Kodambakkam,Water Supply
428,"Low water pressure reported near South Street, near the temple",Water Supply
429,Power supply tripped and not restored for 12 hours in near the temple,Electricity
430,Water tanker did not arrive in the housing board colony as scheduled,Water Supply
431,Open manhole causing danger on South Street in Velachery,Public Safety
432,Illegal parking is causing traffic jams on Church Street,Traffic
433,Huge potholes on Main Road in Anna Nagar,Road Maintenance
434,Air pollution levels are high near the factory in the industrial estate,Environment
435,Zebra crossing markings have faded on Market Road,Traffic
436,Zebra crossing markings have faded on Park Avenue,Traffic
437,Water supply has been irregular in the main market road for 13 weeks,Water Supply
438,Money was demanded for processing a pension application in near the temple,Corruption
439,"New street light pole is needed on Market Road, Nungambakkam",Street Lighting
440,Air pollution levels are high near the factory in Sector 5,Environment
441,Solar street lights installed in the main market road are non functional,Street Lighting
442,Power supply tripped and not restored for 14 hours in Vadapalani,Electricity
443,Burning of waste is causing smoke in Block C,Environment
444,Abandoned building near Gandhi Street is unsafe for children,Public Safety
445,Illegal sand mining reported near the industrial estate,Environment
446,No specialist doctor visits the Anna Nagar health center,Health
447,Voltage fluctuation is damaging appliances in near the temple,Electricity
448,Signboards are missing at the Park Avenue intersection,Traffic
449,Exposed wires near MG Road pose a danger to residents,Electricity
450,Street light flickers continuously on North Street,Street Lighting
451,An officer at the counter asked for extra money to process ration card in Mylapore,Corruption
452,Plastic waste dumped near the water body in Block C,Environment
453,13 street lights have been off for weeks near Bypass Road,Street Lighting
454,Plastic waste dumped near the water body in the panchayat office area,Environment
455,No water connection provided despite application in Perambur,Water Supply
456,Dark stretch on Main Road due to broken street lights,Street Lighting
457,Dead animal left uncollected on North Street in Royapettah,Waste Management
458,Newly laid road on Bazaar Street is already damaged,Road Maintenance
459,Dark stretch on North Street due to broken street lights,Street Lighting
460,Power supply tripped and not restored for 5 hours in the main market road,Electricity
461,Bus conductor misbehaved with passengers on the old bus stand area route,Public Transport
462,Newly laid road on MG Road is already damaged,Road Maintenance
463,Broken compound wall near Gandhi Street is a safety hazard,Public Safety
464,Contaminated water is being supplied in Alwarpet,Water Supply
465,Deep pit left uncovered near Nehru Street in the panchayat office area,Public Safety
466,Abandoned building near MG Road is unsafe for children,Public Safety
467,Garbage is overflowing near Gandhi Street in Tambaram,Waste Management
468,Government hospital near School Lane lacks basic medicines,Health
469,Abandoned building near Market Road is unsafe for children,Public Safety
470,Overcrowded buses are running on the Nungambakkam route,Public Transport
471,Traffic signal timing is too short at Temple Street,Traffic
472,Water body near the main market road is being polluted by industrial waste,Environment
473,Borewell in the main market road has run dry,Water Supply
474,Garbage collection truck has not come to Porur for 4 days,Waste Management
475,A government official is taking bribes for water connection approvals in Phase 2,Corruption
476,Bus stop shelter near MG Road is damaged,Public Transport
477,No waste collection service provided in Block C colony,Waste Management
478,Frequent power cuts are occurring in Egmore,Electricity
479,Garbage collection truck has not come to Ward 12 for 13 days,Waste Management
480,Street lights are not working on Church Street in Kolathur,Street Lighting
481,Overcrowded buses are running on the Velachery route,Public Transport
482,Long waiting times reported at Chromepet government hospital,Health
483,Water supply has been irregular in Velachery for 3 weeks,Water Supply
484,There is no drinking water in Nungambakkam for the past 2 days,Water Supply
485,No science teacher appointed at the main market road school for 2 months,Education
486,Bus service is irregular on the the main market road route,Public Transport
487,Live wire lying on South Street poses electrocution risk,Public Safety
488,Auto drivers are refusing to use the meter near School Lane,Public Transport
489,Exposed wires near Temple Street pose a danger to residents,Electricity
490,Air pollution levels are high near the factory in Guindy,Environment
491,Bus stop shelter near Nehru Street is damaged,Public Transport
492,Teacher is absent regularly at the Ambattur government school,Education
493,Long waiting times reported at Kodambakkam government hospital,Health
494,Hospital in the panchayat office area has no doctors available,Health
495,9 street lights have been off for weeks near MG Road,Street Lighting
496,Illegal tree cutting is happening near Gandhi Street in the industrial estate,Environment
497,Solar street lights installed in the old bus stand area are non functional,Street Lighting
498,Water body near the housing board colony is being polluted by industrial waste,Environment
499,Overcrowded buses are running on the the panchayat office area route,Public Transport
500,Street lights are not working on Temple Street in Egmore,Street Lighting
501,No specialist doctor visits the Alwarpet health center,Health
502,Water pipe burst near Market Road in Phase 2,Water Supply
503,Electric pole near Bazaar Street is leaning dangerously,Electricity
504,"Traffic signal is damaged at Market Road junction, Pallavaram",Traffic
505,Bus frequency has reduced drastically on the industrial estate route,Public Transport
506,Overcrowded buses are running on the near the temple route,Public Transport
507,15 street lights have been off for weeks near School Lane,Street Lighting
508,Broken compound wall near Bazaar Street is a safety hazard,Public Safety
509,Exposed wires near School Lane pose a danger to residents,Electricity
510,Abandoned building near MG Road is unsafe for children,Public Safety
511,Illegal dumping of waste is happening near Nehru Street,Waste Management
