Complaint,Department,Label
Newly laid road on Bazaar Street is already damaged,Road Maintenance,7
School lacks drinking water facility in Guindy,Education,1
Road near Market Road has not been repaired after monsoon,Road Maintenance,7
Plastic waste dumped near the water body in Adyar,Environment,3
Primary health center in the housing board colony is understaffed,Health,4
Dark stretch on Station Road due to broken street lights,Street Lighting,8
Waterlogging occurs on MG Road during rains,Road Maintenance,7
No bus service available to Kolathur after 8 pm,Public Transport,6
Ambulance service is delayed in Sector 5,Health,4
Road near Park Avenue has not been repaired after monsoon,Road Maintenance,7
Hospital in Royapettah lacks cleanliness and hygiene,Health,4
Abandoned building near Bypass Road is unsafe for children,Public Safety,5
Live wire lying on Park Avenue poses electrocution risk,Public Safety,5
Burning of waste is causing smoke in Block C,Environment,3
Official at the Nungambakkam office is demanding money for a certificate,Corruption,0
Bus stop shelter near Bypass Road is damaged,Public Transport,6
Hospital in Ambattur has no doctors available,Health,4
Abandoned building near Gandhi Street is unsafe for children,Public Safety,5
Long waiting times reported at Kolathur government hospital,Health,4
"No signal at the school crossing near Gandhi Street, the housing board colony",Traffic,9
No bus service available to Anna Nagar after 8 pm,Public Transport,6
Illegal parking is causing traffic jams on Temple Street,Traffic,9
"Street lights remain on during daytime in the industrial estate, wasting power",Street Lighting,8
Someone demanded a bribe for approval of a document in Adyar,Corruption,0
Voltage fluctuation is damaging appliances in Sector 5,Electricity,2
Unsafe construction site near Temple Street lacks barricades,Public Safety,5
Vaccination camp was cancelled without notice in the main market road,Health,4
Street light flickers continuously on Nehru Street,Street Lighting,8
Someone demanded a bribe for approval of a document in Perambur,Corruption,0
Billing error in electricity charges for the railway station road residents,Electricity,2
Dead animal left uncollected on MG Road in Pallavaram,Waste Management,10
Illegal parking is causing traffic jams on Park Avenue,Traffic,9
"New street light pole is needed on Ring Road, the government school area",Street Lighting,8
Illegal dumping of waste is happening near Nehru Street,Waste Management,10
Ambulance service is delayed in Saidapet,Health,4
Stray dogs are attacking residents in Phase 2,Public Safety,5
Streetside electric meter is sparking in Velachery,Electricity,2
Water body near Sector 5 is being polluted by industrial waste,Environment,3
Road near MG Road has not been repaired after monsoon,Road Maintenance,7
Construction debris left on Nehru Street blocking traffic,Road Maintenance,7
Bus conductor misbehaved with passengers on Anna Nagar route,Public Transport,6
Zebra crossing markings have faded on North Street,Traffic,9
Illegal dumping of waste is happening near Gandhi Street,Waste Management,10
Street light flickers continuously on Gandhi Street,Street Lighting,8
"Low water pressure reported near Bazaar Street, near the temple",Water Supply,11
Deep pit left uncovered near Main Road in near the temple,Public Safety,5
No waste collection service provided in Kolathur colony,Waste Management,10
Bus service is irregular on the Chromepet route,Public Transport,6
Garbage collection truck has not come to the railway station road for 7 days,Waste Management,10
Hospital in Perambur lacks cleanliness and hygiene,Health,4
Broken compound wall near Gandhi Street is a safety hazard,Public Safety,5
"Traffic signal is damaged at School Lane junction, the old bus stand area",Traffic,9
Traffic signal timing is too short at Main Road,Traffic,9
Unsafe construction site near Ring Road lacks barricades,Public Safety,5
A government official is taking bribes for water connection approvals in the old bus stand area,Corruption,0
Overcrowded buses are running on the Porur route,Public Transport,6
School in Kolathur lacks proper toilet facilities,Education,1
"New street light pole is needed on Park Avenue, Royapettah",Street Lighting,8
Water pipe burst near Temple Street in Egmore,Water Supply,11
Dead animal left uncollected on School Lane in Alwarpet,Waste Management,10
Noise pollution from construction near Station Road at night,Environment,3
No specialist doctor visits the the panchayat office area health center,Health,4
Illegal dumping of waste is happening near Ring Road,Waste Management,10
Borewell in Vadapalani has run dry,Water Supply,11
School in Phase 2 lacks proper toilet facilities,Education,1
Teacher is absent regularly at the Velachery government school,Education,1
Leaking pipeline is wasting water on Ring Road,Water Supply,11
"New street light pole is needed on Bypass Road, Saidapet",Street Lighting,8
Bribe was demanded for issuing a building permit in Sector 5,Corruption,0
Abandoned building near Station Road is unsafe for children,Public Safety,5
Auto drivers are refusing to use the meter near Temple Street,Public Transport,6
"No footpath available on Ring Road, pedestrians face danger",Road Maintenance,7
Stray dogs are attacking residents in Vadapalani,Public Safety,5
School lacks drinking water facility in Ward 12,Education,1
Unsafe construction site near MG Road lacks barricades,Public Safety,5
Auto drivers are refusing to use the meter near Bazaar Street,Public Transport,6
Textbooks not distributed on time in Mylapore schools,Education,1
Exposed wires near Nehru Street pose a danger to residents,Electricity,2
Primary health center in Alwarpet is understaffed,Health,4
Stray dogs are attacking residents in near the temple,Public Safety,5
Teacher is absent regularly at the the old bus stand area government school,Education,1
Live wire lying on Bazaar Street poses electrocution risk,Public Safety,5
Government hospital near Nehru Street lacks basic medicines,Health,4
Water tanker did not arrive in the government school area as scheduled,Water Supply,11
Overcrowded buses are running on the Mylapore route,Public Transport,6
Water pipe burst near MG Road in T Nagar,Water Supply,11
No science teacher appointed at Royapettah school for 5 months,Education,1
Abandoned building near Bazaar Street is unsafe for children,Public Safety,5
Illegal sand mining reported near Adyar,Environment,3
Construction debris left on Nehru Street blocking traffic,Road Maintenance,7
Electric pole near Church Street is leaning dangerously,Electricity,2
Street light wiring is exposed and dangerous in Ward 12,Street Lighting,8
Segregated waste is being mixed by collection staff in Alwarpet,Waste Management,10
No security personnel at the public park in Vadapalani,Public Safety,5
Segregated waste is being mixed by collection staff in Pallavaram,Waste Management,10
Voltage fluctuation is damaging appliances in the industrial estate,Electricity,2
Electricity is unavailable in the housing board colony for the past 7 days,Electricity,2
"No footpath available on North Street, pedestrians face danger",Road Maintenance,7
No traffic police present at busy junction near Church Street,Traffic,9
Billing error in electricity charges for Anna Nagar residents,Electricity,2
No security personnel at the public park in T Nagar,Public Safety,5
No security personnel at the public park in Adyar,Public Safety,5
School in Chromepet lacks proper toilet facilities,Education,1
Burning of waste is causing smoke in the government school area,Environment,3
Noise pollution from construction near Bypass Road at night,Environment,3
"Low water pressure reported near Main Road, Tambaram",Water Supply,11
Garbage is overflowing near School Lane in Pallavaram,Waste Management,10
Auto drivers are refusing to use the meter near Park Avenue,Public Transport,6
Bus conductor misbehaved with passengers on Egmore route,Public Transport,6
Hospital in the government school area lacks cleanliness and hygiene,Health,4
Long waiting times reported at the main market road government hospital,Health,4
Overcrowded buses are running on the Anna Nagar route,Public Transport,6
Contaminated water is being supplied in Perambur,Water Supply,11
No science teacher appointed at Phase 2 school for 2 months,Education,1
"Traffic signal is damaged at Market Road junction, Mylapore",Traffic,9
"New street light pole is needed on School Lane, Sector 5",Street Lighting,8
"Low water pressure reported near Park Avenue, Tambaram",Water Supply,11
An officer at the counter is taking bribes for water connection approvals in Adyar,Corruption,0
Long waiting times reported at Porur government hospital,Health,4
Construction debris left on Main Road blocking traffic,Road Maintenance,7
Someone demanded a bribe for approval of a document in Saidapet,Corruption,0
"Traffic signal is damaged at North Street junction, the panchayat office area",Traffic,9
Broken compound wall near Main Road is a safety hazard,Public Safety,5
"Low water pressure reported near Market Road, Egmore",Water Supply,11
"New street light pole is needed on Park Avenue, T Nagar",Street Lighting,8
Overcrowded classrooms reported in near the temple government school,Education,1
There is no drinking water in the government school area for the past 13 days,Water Supply,11
10 street lights have been off for weeks near MG Road,Street Lighting,8
Air pollution levels are high near the factory in the railway station road,Environment,3
Electric pole near South Street is leaning dangerously,Electricity,2
Auto drivers are refusing to use the meter near Park Avenue,Public Transport,6
Water body near Perambur is being polluted by industrial waste,Environment,3
Segregated waste is being mixed by collection staff in Phase 2,Waste Management,10
Stray dogs are attacking residents in Nungambakkam,Public Safety,5
Ambulance service is delayed in Porur,Health,4
Illegal sand mining reported near the old bus stand area,Environment,3
Borewell in Anna Nagar has run dry,Water Supply,11
"Low water pressure reported near Main Road, Guindy",Water Supply,11
Official at the the housing board colony office is demanding money for a certificate,Corruption,0
Dark stretch on North Street due to broken street lights,Street Lighting,8
Money was demanded for processing a pension application in the industrial estate,Corruption,0
Official at the the railway station road office is demanding money for a certificate,Corruption,0
Official at the Porur office is demanding money for a certificate,Corruption,0
Open manhole causing danger on Bazaar Street in the panchayat office area,Public Safety,5
Government hospital near Temple Street lacks basic medicines,Health,4
Noise pollution from construction near School Lane at night,Environment,3
Dead animal left uncollected on Main Road in the government school area,Waste Management,10
Water body near Nungambakkam is being polluted by industrial waste,Environment,3
Textbooks not distributed on time in Sector 5 schools,Education,1
No traffic police present at busy junction near Bazaar Street,Traffic,9
No science teacher appointed at Egmore school for 7 months,Education,1
No traffic police present at busy junction near Bazaar Street,Traffic,9
Construction debris left on South Street blocking traffic,Road Maintenance,7
Bus frequency has reduced drastically on the panchayat office area route,Public Transport,6
Open manhole causing danger on Bypass Road in Mylapore,Public Safety,5
Overhead tank in Pallavaram has not been cleaned in months,Water Supply,11
No traffic police present at busy junction near MG Road,Traffic,9
Encroachment on the lake near the government school area is destroying wetlands,Environment,3
Bus stop shelter near Bazaar Street is damaged,Public Transport,6
Street light wiring is exposed and dangerous in Block C,Street Lighting,8
Teacher is absent regularly at the the railway station road government school,Education,1
Street light wiring is exposed and dangerous in Adyar,Street Lighting,8
Unsafe construction site near School Lane lacks barricades,Public Safety,5
Plastic waste dumped near the water body in the main market road,Environment,3
A municipal worker asked for extra money to process ration card in the industrial estate,Corruption,0
There is no drinking water in Guindy for the past 5 days,Water Supply,11
Encroachment on the lake near Block C is destroying wetlands,Environment,3
Burning of waste is causing smoke in Saidapet,Environment,3
"Low water pressure reported near MG Road, Perambur",Water Supply,11
Solar street lights installed in Pallavaram are non functional,Street Lighting,8
No bus service available to Saidapet after 8 pm,Public Transport,6
Segregated waste is being mixed by collection staff in the old bus stand area,Waste Management,10
Exposed wires near Temple Street pose a danger to residents,Electricity,2
Government hospital near Bypass Road lacks basic medicines,Health,4
"No signal at the school crossing near Bazaar Street, Porur",Traffic,9
A middleman is taking bribes for water connection approvals in Sector 5,Corruption,0
No science teacher appointed at Kolathur school for 8 months,Education,1
Street light wiring is exposed and dangerous in Pallavaram,Street Lighting,8
Open manhole causing danger on North Street in the industrial estate,Public Safety,5
Teacher is absent regularly at the Phase 2 government school,Education,1
Bribe was demanded for issuing a building permit in Ward 12,Corruption,0
Speed breakers are missing near the school on North Street,Road Maintenance,7
Long waiting times reported at Sector 5 government hospital,Health,4
No science teacher appointed at Adyar school for 10 months,Education,1
Illegal tree cutting is happening near Market Road in Egmore,Environment,3
Dead animal left uncollected on Station Road in Alwarpet,Waste Management,10
Money was demanded for processing a pension application in Guindy,Corruption,0
"Low water pressure reported near Gandhi Street, Velachery",Water Supply,11
Dark stretch on Market Road due to broken street lights,Street Lighting,8
Bus stop shelter near Nehru Street is damaged,Public Transport,6
Vaccination camp was cancelled without notice in Velachery,Health,4
Illegal parking is causing traffic jams on Bazaar Street,Traffic,9
"Low water pressure reported near Station Road, the housing board colony",Water Supply,11
An officer at the counter asked for extra money to process ration card in the old bus stand area,Corruption,0
Teacher is absent regularly at the Ambattur government school,Education,1
"Street lights remain on during daytime in the main market road, wasting power",Street Lighting,8
Government hospital near Ring Road lacks basic medicines,Health,4
A clerk asked for extra money to process ration card in Kolathur,Corruption,0
Official at the the main market road office is demanding money for a certificate,Corruption,0
"Traffic signal is damaged at Bazaar Street junction, Pallavaram",Traffic,9
Unsafe construction site near Main Road lacks barricades,Public Safety,5
Transformer near North Street in Ambattur is not working,Electricity,2
Overcrowded buses are running on the Pallavaram route,Public Transport,6
Money was demanded for processing a pension application in Ambattur,Corruption,0
Illegal sand mining reported near Saidapet,Environment,3
School building near Station Road needs urgent repair,Education,1
Signboards are missing at the South Street intersection,Traffic,9
Corruption reported in distribution of government scheme benefits in T Nagar,Corruption,0
"Street lights remain on during daytime in the industrial estate, wasting power",Street Lighting,8
Official at the Ward 12 office is demanding money for a certificate,Corruption,0
Speed breakers are missing near the school on Park Avenue,Road Maintenance,7
Plastic waste dumped near the water body in Royapettah,Environment,3
Streetside electric meter is sparking in Saidapet,Electricity,2
Deep pit left uncovered near MG Road in Nungambakkam,Public Safety,5
Open manhole causing danger on Bypass Road in Egmore,Public Safety,5
Electricity is unavailable in Kodambakkam for the past 8 days,Electricity,2
A government official is taking bribes for water connection approvals in Phase 2,Corruption,0
Billing error in electricity charges for Ward 12 residents,Electricity,2
Huge potholes on Temple Street in Tambaram,Road Maintenance,7
Illegal dumping of waste is happening near Gandhi Street,Waste Management,10
Public dustbin near Temple Street is broken and overflowing,Waste Management,10
Unsafe construction site near Main Road lacks barricades,Public Safety,5
Money was demanded for processing a pension application in Ward 12,Corruption,0
Mid day meal quality is poor at Guindy school,Education,1
Electric pole near Bazaar Street is leaning dangerously,Electricity,2
Bus conductor misbehaved with passengers on the main market road route,Public Transport,6
Traffic signal timing is too short at Bazaar Street,Traffic,9
Street lights are not working on South Street in the railway station road,Street Lighting,8
Signboards are missing at the Church Street intersection,Traffic,9
Bribe was demanded for issuing a building permit in Tambaram,Corruption,0
Primary health center in Chromepet is understaffed,Health,4
Street light flickers continuously on Market Road,Street Lighting,8
Electric pole near Bazaar Street is leaning dangerously,Electricity,2
Long waiting times reported at the industrial estate government hospital,Health,4
Last bus timing has been cancelled for Guindy,Public Transport,6
Government hospital near Temple Street lacks basic medicines,Health,4
Leaking pipeline is wasting water on Bazaar Street,Water Supply,11
Newly laid road on Park Avenue is already damaged,Road Maintenance,7
Bus stop shelter near School Lane is damaged,Public Transport,6
Corruption reported in distribution of government scheme benefits in Vadapalani,Corruption,0
Segregated waste is being mixed by collection staff in Phase 2,Waste Management,10
Illegal sand mining reported near Adyar,Environment,3
Teacher is absent regularly at the Kodambakkam government school,Education,1
Garbage is overflowing near Gandhi Street in Perambur,Waste Management,10
Abandoned building near Temple Street is unsafe for children,Public Safety,5
Plastic waste dumped near the water body in Perambur,Environment,3
Hospital in Guindy has no doctors available,Health,4
"No footpath available on Market Road, pedestrians face danger",Road Maintenance,7
Primary health center in Anna Nagar is understaffed,Health,4
Traffic signal timing is too short at Nehru Street,Traffic,9
No traffic police present at busy junction near Main Road,Traffic,9
Teacher is absent regularly at the the main market road government school,Education,1
No specialist doctor visits the the main market road health center,Health,4
Leaking pipeline is wasting water on MG Road,Water Supply,11
Water body near Tambaram is being polluted by industrial waste,Environment,3
"New street light pole is needed on Bypass Road, near the temple",Street Lighting,8
Encroachment on the lake near Nungambakkam is destroying wetlands,Environment,3
Voltage fluctuation is damaging appliances in Chromepet,Electricity,2
No bus service available to Tambaram after 8 pm,Public Transport,6
Plastic waste dumped near the water body in Kodambakkam,Environment,3
Speed breakers are missing near the school on Temple Street,Road Maintenance,7
Dumping ground near Royapettah is causing bad odor,Waste Management,10
Unsafe construction site near Main Road lacks barricades,Public Safety,5
Frequent traffic congestion on Park Avenue during peak hours,Traffic,9
Leaking pipeline is wasting water on Bypass Road,Water Supply,11
Auto drivers are refusing to use the meter near Church Street,Public Transport,6
Live wire lying on Nehru Street poses electrocution risk,Public Safety,5
"Traffic signal is damaged at North Street junction, near the temple",Traffic,9
Long waiting times reported at near the temple government hospital,Health,4
Official at the Kolathur office is demanding money for a certificate,Corruption,0
Textbooks not distributed on time in Porur schools,Education,1
Waterlogging occurs on South Street during rains,Road Maintenance,7
Construction debris left on North Street blocking traffic,Road Maintenance,7
No specialist doctor visits the Tambaram health center,Health,4
"Traffic signal is damaged at Gandhi Street junction, Adyar",Traffic,9
Money was demanded for processing a pension application in Egmore,Corruption,0
"New street light pole is needed on MG Road, Pallavaram",Street Lighting,8
Street light wiring is exposed and dangerous in Perambur,Street Lighting,8
Dumping ground near the housing board colony is causing bad odor,Waste Management,10
Dark stretch on Temple Street due to broken street lights,Street Lighting,8
Road near Ring Road has not been repaired after monsoon,Road Maintenance,7
"Street lights remain on during daytime in Pallavaram, wasting power",Street Lighting,8
Overcrowded buses are running on the Royapettah route,Public Transport,6
Someone demanded a bribe for approval of a document in Vadapalani,Corruption,0
Garbage is overflowing near Park Avenue in Block C,Waste Management,10
Burning of waste is causing smoke in Block C,Environment,3
A municipal worker asked for extra money to process ration card in Vadapalani,Corruption,0
Construction debris left on School Lane blocking traffic,Road Maintenance,7
Overcrowded classrooms reported in Mylapore government school,Education,1
Auto drivers are refusing to use the meter near Church Street,Public Transport,6
11 street lights have been off for weeks near Market Road,Street Lighting,8
Broken compound wall near School Lane is a safety hazard,Public Safety,5
Leaking pipeline is wasting water on Station Road,Water Supply,11
Leaking pipeline is wasting water on MG Road,Water Supply,11
Overcrowded classrooms reported in Sector 5 government school,Education,1
Borewell in Block C has run dry,Water Supply,11
Water supply has been irregular in the industrial estate for 10 weeks,Water Supply,11
Water body near Royapettah is being polluted by industrial waste,Environment,3
Bribe was demanded for issuing a building permit in Saidapet,Corruption,0
Bus frequency has reduced drastically on Ambattur route,Public Transport,6
New electricity connection is delayed in the panchayat office area,Electricity,2
Traffic signal timing is too short at North Street,Traffic,9
Public dustbin near Ring Road is broken and overflowing,Waste Management,10
Water body near the main market road is being polluted by industrial waste,Environment,3
Illegal dumping of waste is happening near North Street,Waste Management,10
Voltage fluctuation is damaging appliances in Alwarpet,Electricity,2
Road near South Street has not been repaired after monsoon,Road Maintenance,7
Overcrowded classrooms reported in Guindy government school,Education,1
Signboards are missing at the School Lane intersection,Traffic,9
Solar street lights installed in Phase 2 are non functional,Street Lighting,8
"Traffic signal is damaged at South Street junction, Tambaram",Traffic,9
"Traffic signal is damaged at Main Road junction, Phase 2",Traffic,9
No water connection provided despite application in Adyar,Water Supply,11
No bus service available to Chromepet after 8 pm,Public Transport,6
Borewell in near the temple has run dry,Water Supply,11
14 street lights have been off for weeks near North Street,Street Lighting,8
Electricity is unavailable in the old bus stand area for the past 12 days,Electricity,2
Public dustbin near North Street is broken and overflowing,Waste Management,10
Dumping ground near the old bus stand area is causing bad odor,Waste Management,10
Overcrowded buses are running on the Velachery route,Public Transport,6
Signboards are missing at the Temple Street intersection,Traffic,9
Huge potholes on North Street in Anna Nagar,Road Maintenance,7
Newly laid road on South Street is already damaged,Road Maintenance,7
Traffic signal timing is too short at School Lane,Traffic,9
Public dustbin near South Street is broken and overflowing,Waste Management,10
Water body near T Nagar is being polluted by industrial waste,Environment,3
"Traffic signal is damaged at Nehru Street junction, Kolathur",Traffic,9
Illegal parking is causing traffic jams on Ring Road,Traffic,9
Encroachment on the lake near the industrial estate is destroying wetlands,Environment,3
Bus service is irregular on the Porur route,Public Transport,6
Broken compound wall near Gandhi Street is a safety hazard,Public Safety,5
Solar street lights installed in Saidapet are non functional,Street Lighting,8
Encroachment on the lake near Pallavaram is destroying wetlands,Environment,3
Auto drivers are refusing to use the meter near Park Avenue,Public Transport,6
A clerk is taking bribes for water connection approvals in the railway station road,Corruption,0
Overcrowded buses are running on the the government school area route,Public Transport,6
Dumping ground near Alwarpet is causing bad odor,Waste Management,10
Bribe was demanded for issuing a building permit in Velachery,Corruption,0
Illegal parking is causing traffic jams on MG Road,Traffic,9
Water tanker did not arrive in Saidapet as scheduled,Water Supply,11
Official at the the government school area office is demanding money for a certificate,Corruption,0
Construction debris left on North Street blocking traffic,Road Maintenance,7
Ambulance service is delayed in Nungambakkam,Health,4
Burning of waste is causing smoke in Velachery,Environment,3
Live wire lying on Park Avenue poses electrocution risk,Public Safety,5
Overcrowded buses are running on the Tambaram route,Public Transport,6
School building near Main Road needs urgent repair,Education,1
Official at the Velachery office is demanding money for a certificate,Corruption,0
"Low water pressure reported near Market Road, the old bus stand area",Water Supply,11
Auto drivers are refusing to use the meter near South Street,Public Transport,6
Stray dogs are attacking residents in the panchayat office area,Public Safety,5
Overcrowded buses are running on the Phase 2 route,Public Transport,6
Waterlogging occurs on Church Street during rains,Road Maintenance,7
Stray dogs are attacking residents in Vadapalani,Public Safety,5
Overcrowded classrooms reported in Vadapalani government school,Education,1
Road divider near Market Road is broken,Road Maintenance,7
Huge potholes on Bazaar Street in the industrial estate,Road Maintenance,7
No water connection provided despite application in Chromepet,Water Supply,11
"No footpath available on South Street, pedestrians face danger",Road Maintenance,7
Mid day meal quality is poor at Porur school,Education,1
"New street light pole is needed on Bypass Road, the government school area",Street Lighting,8
Last bus timing has been cancelled for Ambattur,Public Transport,6
"Street lights remain on during daytime in Nungambakkam, wasting power",Street Lighting,8
Water tanker did not arrive in Ward 12 as scheduled,Water Supply,11
Illegal parking is causing traffic jams on Station Road,Traffic,9
Road divider near Main Road is broken,Road Maintenance,7
Vaccination camp was cancelled without notice in Ward 12,Health,4
Frequent power cuts are occurring in Egmore,Electricity,2
Dead animal left uncollected on Park Avenue in Velachery,Waste Management,10
Signboards are missing at the Ring Road intersection,Traffic,9
Noise pollution from construction near Ring Road at night,Environment,3
Teacher is absent regularly at the Ward 12 government school,Education,1
Street light wiring is exposed and dangerous in Chromepet,Street Lighting,8
Water tanker did not arrive in Perambur as scheduled,Water Supply,11
Live wire lying on Station Road poses electrocution risk,Public Safety,5
Someone demanded a bribe for approval of a document in the railway station road,Corruption,0
"Traffic signal is damaged at Temple Street junction, Sector 5",Traffic,9
Stray dogs are attacking residents in Sector 5,Public Safety,5
Solar street lights installed in Block C are non functional,Street Lighting,8
Illegal tree cutting is happening near Market Road in Velachery,Environment,3
Newly laid road on MG Road is already damaged,Road Maintenance,7
"Street lights remain on during daytime in Kodambakkam, wasting power",Street Lighting,8
"Street lights remain on during daytime in T Nagar, wasting power",Street Lighting,8
Last bus timing has been cancelled for Saidapet,Public Transport,6
Speed breakers are missing near the school on Park Avenue,Road Maintenance,7
Illegal tree cutting is happening near Bazaar Street in Kodambakkam,Environment,3
No security personnel at the public park in Alwarpet,Public Safety,5
Hospital in Phase 2 lacks cleanliness and hygiene,Health,4
Air pollution levels are high near the factory in Ward 12,Environment,3
Electric pole near School Lane is leaning dangerously,Electricity,2
13 street lights have been off for weeks near Station Road,Street Lighting,8
Dead animal left uncollected on North Street in Royapettah,Waste Management,10
Encroachment on the lake near the government school area is destroying wetlands,Environment,3
Garbage is overflowing near Ring Road in Phase 2,Waste Management,10
Money was demanded for processing a pension application in Egmore,Corruption,0
Hospital in Tambaram lacks cleanliness and hygiene,Health,4
Frequent power cuts are occurring in Pallavaram,Electricity,2
Bus frequency has reduced drastically on near the temple route,Public Transport,6
Bus stop shelter near Park Avenue is damaged,Public Transport,6
Electric pole near South Street is leaning dangerously,Electricity,2
Vaccination camp was cancelled without notice in Kolathur,Health,4
Garbage collection truck has not come to Adyar for 8 days,Waste Management,10
Garbage is overflowing near Park Avenue in Porur,Waste Management,10
"Traffic signal is damaged at South Street junction, Block C",Traffic,9
Construction debris left on Ring Road blocking traffic,Road Maintenance,7
Electric pole near Main Road is leaning dangerously,Electricity,2
Mid day meal quality is poor at Velachery school,Education,1
Illegal dumping of waste is happening near Station Road,Waste Management,10
Road divider near Station Road is broken,Road Maintenance,7
Stray dogs are attacking residents in Perambur,Public Safety,5
Road near Church Street has not been repaired after monsoon,Road Maintenance,7
Overcrowded classrooms reported in Porur government school,Education,1
Long waiting times reported at T Nagar government hospital,Health,4
Signboards are missing at the Station Road intersection,Traffic,9
Street light flickers continuously on Church Street,Street Lighting,8
Huge potholes on Market Road in T Nagar,Road Maintenance,7
Illegal tree cutting is happening near Station Road in T Nagar,Environment,3
Garbage collection truck has not come to Kolathur for 7 days,Waste Management,10
